其他名称,详情描述,地区,动画种类,原版名称,原作,制作公司,首播时间,播放状态,剧情类型,标签,官方网站
咕噜咕噜魔法阵 第二季,电视动画《咕噜咕噜魔法阵》改编自改编自卫藤浩幸原作的同名漫画，动画由日本动画公司负责制作。,日本,TV,ドキドキ♡伝説 魔法陣グルグル,衛藤ヒロユキ,Nippon Animation,2000-04-04,完结,奇幻 搞笑 亲子,奇幻 搞笑 亲子,http://www.nippon-animation.co.jp/na/guru2/index.htm
海贼王TV版特别篇 路飞落下！秘境 海肚脐的大冒险,《海贼王SP：路飞落下 秘境 海肚脐的大冒险》是尾田荣一郎导演的一部剧情电影。,日本,TV,ルフィ落下! 秘境・海のヘソの大冒険,尾田栄一郎,暂无,2000-12-20,完结,搞笑 冒险 热血 励志,搞笑 冒险 热血 励志,暂无
咕噜咕噜魔法阵,电视动画《咕噜咕噜魔法阵》改编自改编自卫藤浩幸原作的同名漫画，动画由日本动画公司负责制作。,日本,TV,魔法陣グルグル,衛藤ヒロユキ,Nippon Animation,1994-10-13,完结,奇幻 搞笑 亲子,奇幻 搞笑 亲子,http://www.nippon-animation.co.jp/work/mahojin_guruguru.html
海贼王特别篇 打倒海贼强萨克！,在某个海岛小渔村长大。和暂驻在渔村的大海盗红发撒古斯感情很好，于是一心想成为海盗。眼下的疤痕就是为了显示自己够狠自己用刀划的（果然够狠，汗）。可是路飞7岁时糊里糊涂的吃了海盗们抢来的恶魔果实——橡皮果实，从此再也学不会游泳。这样还能成为海盗吗？路飞的答案是——只要不掉到海里就可以了（听上去好像很有道理，可是……我真的给这个单细胞的家伙打败了）。,日本,OVA,ONE PIECE 倒せ!海賊ギャンザック,尾田栄一郎,Production I.G,1998-07,完结,搞笑 冒险 热血 励志,搞笑 冒险 热血 励志,暂无
海贼王剧场版 黄金岛冒险,《ONE PIECE 黄金岛大冒险》是于2000年上映的第一部《ONE PIECE》剧场版。中国中央电视台电影频道（CCTV-6）亦曾引进并于2011年8月8日下午14:50分首播，片名翻译为《航海王：黄金岛大冒险》。,日本,剧场版,ONE PIECE the movie,尾田栄一郎,暂无,2000-03-04,完结,搞笑 冒险 热血 励志,搞笑 冒险 热血 励志,暂无
海贼王SP合集,TVSP&OVASP：,日本,OVA,暂无,尾田栄一郎,暂无,1998-07,完结,搞笑 冒险 热血 励志,搞笑 冒险 热血 励志,暂无
名侦探柯南,电视动画《名侦探柯南》改编自青山刚昌创作的、连载于《周刊少年Sunday》上的漫画《名侦探柯南》。动画于1996年1月8日首播。,日本,TV,名探偵コナン,青山剛昌,TMS Entertainment,1996-01-08,连载,悬疑 推理 犯罪,悬疑 推理 犯罪,http://www.ytv.co.jp/conan/
咕噜咕噜魔法阵剧场版,传说中有个吃了后无论什么愿望都能实现的道具，名为幸福的咸菜，巨大龙在巨大山等待着勇者的愿望，只要是巨大龙认可的愿望，谁都能得到幸福的咸菜。得知此传闻的勇者仁傑和魔女歌莉决定出发寻找幸福的咸菜……,日本,剧场版,劇場版 魔法陣グルグル,衛藤ヒロユキ,Nippon Animation,1996-04-20,完结,奇幻 搞笑 亲子 冒险,奇幻 搞笑 亲子 冒险,暂无
樱桃小丸子,《樱桃小丸子》是全球知名度最高及最具影响力的动漫作品之一。其动画连续二十余年高居日本动画收视率前三位，到2013年时已超过1000集，仍于每周日黄金时段下午六点在日本富士电视台上进行连载热播，是日本男女老少心中的国民动画。本作品是以作者的童年生活为蓝本，故事围绕着小丸子以及其家人和同学展开，有关于亲情、友谊，或是一些生活小事，其中有笑有泪，令人回想起童年的稚气。,日本,TV,ちびまる子ちゃん,さくらももこ,Nippon Animation,1990-01-07,完结,搞笑 亲子 亲情,搞笑 亲子 亲情 童年,http://chibimaru.tv/
樱桃小丸子 第二季,故事以20世纪70年代日本静冈清水市为背景，这里生活着快乐而幸福的樱一家。樱桃子（小丸子）是家中最小的女儿，她贪玩懒惰，还迷迷糊糊，经常惹得妈妈和姐姐大发雷霆。不过身边有个没正形儿的父亲和溺爱她的爷爷，倒让小丸子的生活不致于太无聊。尤其是爷爷，祖孙俩在一起可没少闹笑话。,日本,TV,ちびまる子ちゃん,さくらももこ,Nippon Animation,1995-01-08,完结,搞笑 亲子 亲情,搞笑 亲子 亲情,http://wwwz.fujitv.co.jp/maruchan
海贼王,电视动画《航海王》改编自尾田荣一郎创作的同名长篇少年漫画，动画由东映动画制作。,日本,TV,ONE PIECE,尾田栄一郎,東映動画,1999-10-20,连载,搞笑 冒险 热血 励志,搞笑 冒险 热血 励志,http://www.fujitv.co.jp/b_hp/onepiece/index.html
樱桃小丸子剧场版 大野与杉山,《樱桃小丸子:友情岁月》是根据漫画家樱桃子创作的漫画《樱桃小丸子》改编的动画电影。本作同时也是《樱桃小丸子》首次改编成电影，登上大荧幕。影片于1990年12月15日公映。,日本,剧场版,ちびまる子ちゃん 劇場版 大野君と杉山君,さくらももこ,Nippon Animation,1990-12-15,完结,搞笑 亲子 亲情,搞笑 亲子 亲情,暂无
樱桃小丸子剧场版 我喜欢的歌,《樱桃小丸子：我喜欢的歌》是1992年上映的，搞笑、儿童类型的作品。,日本,剧场版,びまる子ちゃん 劇場版 わたしの好きな歌,さくらももこ,Nippon Animation,1992-12-19,完结,搞笑 亲子 亲情,搞笑 亲子 亲情,暂无
